"ticker","panel","leverage_pct","gamma","statistic","paper","diagnosed_numerical_exception","exception_reason"
"NDX","solvency",2,"5","mean_ann",7.18,FALSE,""
"NDX","solvency",2,"5","sd_ann",5.12,FALSE,""
"NDX","solvency",2,"5","sharpe_ann",1.4,FALSE,""
"NDX","solvency",2,"5","alpha_ann",5.56,FALSE,""
"NDX","solvency",2,"5","beta",0.12,FALSE,""
"NDX","solvency",2,"5","hsd_ann",4.2,FALSE,""
"NDX","solvency",2,"5","appraisal_ann",1.32,FALSE,""
"NDX","solvency",3,"1","mean_ann",11.68,FALSE,""
"NDX","solvency",3,"1","sd_ann",11.75,FALSE,""
"NDX","solvency",3,"1","sharpe_ann",0.99,FALSE,""
"NDX","solvency",3,"1","alpha_ann",8.08,FALSE,""
"NDX","solvency",3,"1","beta",0.27,FALSE,""
"NDX","solvency",3,"1","hsd_ann",9.79,FALSE,""
"NDX","solvency",3,"1","appraisal_ann",0.82,FALSE,""
"NDX","solvency",3,"3","mean_ann",11.85,FALSE,""
"NDX","solvency",3,"3","sd_ann",8.79,FALSE,""
"NDX","solvency",3,"3","sharpe_ann",1.35,FALSE,""
"NDX","solvency",3,"3","alpha_ann",8.89,FALSE,""
"NDX","solvency",3,"3","beta",0.22,FALSE,""
"NDX","solvency",3,"3","hsd_ann",6.99,FALSE,""
"NDX","solvency",3,"3","appraisal_ann",1.27,FALSE,""
"NDX","solvency",3,"5","mean_ann",11.19,FALSE,""
"NDX","solvency",3,"5","sd_ann",6.86,FALSE,""
"NDX","solvency",3,"5","sharpe_ann",1.63,FALSE,""
"NDX","solvency",3,"5","alpha_ann",8.83,FALSE,""
"NDX","solvency",3,"5","beta",0.18,FALSE,""
"NDX","solvency",3,"5","hsd_ann",5.38,FALSE,""
"NDX","solvency",3,"5","appraisal_ann",1.64,FALSE,""
"NDX","solvency",5,"1","mean_ann",19.52,FALSE,""
"NDX","solvency",5,"1","sd_ann",19.17,FALSE,""
"NDX","solvency",5,"1","sharpe_ann",1.02,FALSE,""
"NDX","solvency",5,"1","alpha_ann",13.47,FALSE,""
"NDX","solvency",5,"1","beta",0.45,FALSE,""
"NDX","solvency",5,"1","hsd_ann",15.77,FALSE,""
"NDX","solvency",5,"1","appraisal_ann",0.85,FALSE,""
"NDX","solvency",5,"3","mean_ann",17.97,FALSE,""
"NDX","solvency",5,"3","sd_ann",11.75,FALSE,""
"NDX","solvency",5,"3","sharpe_ann",1.53,FALSE,""
"NDX","solvency",5,"3","alpha_ann",13.91,FALSE,""
"NDX","solvency",5,"3","beta",0.3,FALSE,""
"NDX","solvency",5,"3","hsd_ann",9.2,FALSE,""
"NDX","solvency",5,"3","appraisal_ann",1.51,FALSE,""
"NDX","solvency",5,"5","mean_ann",16.49,FALSE,""
"NDX","solvency",5,"5","sd_ann",9.04,FALSE,""
"NDX","solvency",5,"5","sharpe_ann",1.82,FALSE,""
"NDX","solvency",5,"5","alpha_ann",13.43,FALSE,""
"NDX","solvency",5,"5","beta",0.23,FALSE,""
"NDX","solvency",5,"5","hsd_ann",7.17,FALSE,""
"NDX","solvency",5,"5","appraisal_ann",1.87,FALSE,""
"DJX","unconstrained",2,"1","mean_ann",4.2,FALSE,""
"DJX","unconstrained",2,"1","sd_ann",10.85,FALSE,""
"DJX","unconstrained",2,"1","sharpe_ann",0.39,FALSE,""
"DJX","unconstrained",2,"1","alpha_ann",2.27,FALSE,""
"DJX","unconstrained",2,"1","beta",0.33,FALSE,""
"DJX","unconstrained",2,"1","hsd_ann",9.1,FALSE,""
"DJX","unconstrained",2,"1","appraisal_ann",0.25,FALSE,""
"DJX","unconstrained",2,"3","mean_ann",4.06,FALSE,""
"DJX","unconstrained",2,"3","sd_ann",8.24,FALSE,""
"DJX","unconstrained",2,"3","sharpe_ann",0.49,FALSE,""
"DJX","unconstrained",2,"3","alpha_ann",2.53,FALSE,""
"DJX","unconstrained",2,"3","beta",0.26,FALSE,""
"DJX","unconstrained",2,"3","hsd_ann",6.78,FALSE,""
"DJX","unconstrained",2,"3","appraisal_ann",0.37,FALSE,""
"DJX","unconstrained",2,"5","mean_ann",3.48,FALSE,""
"DJX","unconstrained",2,"5","sd_ann",7.11,FALSE,""
"DJX","unconstrained",2,"5","sharpe_ann",0.49,FALSE,""
"DJX","unconstrained",2,"5","alpha_ann",2.18,FALSE,""
"DJX","unconstrained",2,"5","beta",0.22,FALSE,""
"DJX","unconstrained",2,"5","hsd_ann",5.89,FALSE,""
"DJX","unconstrained",2,"5","appraisal_ann",0.37,FALSE,""
"DJX","unconstrained",3,"1","mean_ann",6.68,FALSE,""
"DJX","unconstrained",3,"1","sd_ann",15.22,FALSE,""
"DJX","unconstrained",3,"1","sharpe_ann",0.44,FALSE,""
"DJX","unconstrained",3,"1","alpha_ann",3.91,FALSE,""
"DJX","unconstrained",3,"1","beta",0.47,FALSE,""
"DJX","unconstrained",3,"1","hsd_ann",12.66,FALSE,""
"DJX","unconstrained",3,"1","appraisal_ann",0.31,FALSE,""
"DJX","unconstrained",3,"3","mean_ann",5.54,FALSE,""
"DJX","unconstrained",3,"3","sd_ann",11.23,FALSE,""
"DJX","unconstrained",3,"3","sharpe_ann",0.49,FALSE,""
"DJX","unconstrained",3,"3","alpha_ann",3.46,FALSE,""
"DJX","unconstrained",3,"3","beta",0.35,FALSE,""
"DJX","unconstrained",3,"3","hsd_ann",9.27,FALSE,""
"DJX","unconstrained",3,"3","appraisal_ann",0.37,FALSE,""
"DJX","unconstrained",3,"5","mean_ann",4.42,FALSE,""
"DJX","unconstrained",3,"5","sd_ann",9.6,FALSE,""
"DJX","unconstrained",3,"5","sharpe_ann",0.46,FALSE,""
"DJX","unconstrained",3,"5","alpha_ann",2.71,FALSE,""
"DJX","unconstrained",3,"5","beta",0.29,FALSE,""
"DJX","unconstrained",3,"5","hsd_ann",8.05,FALSE,""
"DJX","unconstrained",3,"5","appraisal_ann",0.34,FALSE,""
"DJX","unconstrained",5,"1","mean_ann",10.95,FALSE,""
"DJX","unconstrained",5,"1","sd_ann",22.25,FALSE,""
"DJX","unconstrained",5,"1","sharpe_ann",0.49,FALSE,""
"DJX","unconstrained",5,"1","alpha_ann",6.8,FALSE,""
"DJX","unconstrained",5,"1","beta",0.7,FALSE,""
