"period","asset","leverage_pct","gamma","statistic","paper","diagnosed_numerical_exception","exception_reason"
"2006-2010","SPX options",5,5,"appraisal_ann",1.88,FALSE,""
"2006-2010","SPX index",NA,NA,"mean_ann",-1.04,FALSE,""
"2006-2010","SPX index",NA,NA,"sd_ann",19.06,FALSE,""
"2006-2010","SPX index",NA,NA,"sharpe_ann",-0.05,FALSE,""
"2011-2015","SPX options",2,1,"mean_ann",9.77,FALSE,""
"2011-2015","SPX options",2,1,"sd_ann",5.76,FALSE,""
"2011-2015","SPX options",2,1,"sharpe_ann",1.7,FALSE,""
"2011-2015","SPX options",2,1,"alpha_ann",7.9,FALSE,""
"2011-2015","SPX options",2,1,"beta",0.21,FALSE,""
"2011-2015","SPX options",2,1,"hsd_ann",4.95,FALSE,""
"2011-2015","SPX options",2,1,"appraisal_ann",1.6,FALSE,""
"2011-2015","SPX options",2,3,"mean_ann",9.45,FALSE,""
"2011-2015","SPX options",2,3,"sd_ann",5.71,FALSE,""
"2011-2015","SPX options",2,3,"sharpe_ann",1.65,FALSE,""
"2011-2015","SPX options",2,3,"alpha_ann",7.54,FALSE,""
"2011-2015","SPX options",2,3,"beta",0.21,FALSE,""
"2011-2015","SPX options",2,3,"hsd_ann",4.85,FALSE,""
"2011-2015","SPX options",2,3,"appraisal_ann",1.55,FALSE,""
"2011-2015","SPX options",2,5,"mean_ann",8.76,FALSE,""
"2011-2015","SPX options",2,5,"sd_ann",4.35,FALSE,""
"2011-2015","SPX options",2,5,"sharpe_ann",2.01,FALSE,""
"2011-2015","SPX options",2,5,"alpha_ann",7.28,FALSE,""
"2011-2015","SPX options",2,5,"beta",0.16,FALSE,""
"2011-2015","SPX options",2,5,"hsd_ann",3.66,FALSE,""
"2011-2015","SPX options",2,5,"appraisal_ann",1.99,FALSE,""
"2011-2015","SPX options",3,1,"mean_ann",18.56,FALSE,""
"2011-2015","SPX options",3,1,"sd_ann",10.76,FALSE,""
"2011-2015","SPX options",3,1,"sharpe_ann",1.73,FALSE,""
"2011-2015","SPX options",3,1,"alpha_ann",15.2,FALSE,""
"2011-2015","SPX options",3,1,"beta",0.37,FALSE,""
"2011-2015","SPX options",3,1,"hsd_ann",9.36,FALSE,""
"2011-2015","SPX options",3,1,"appraisal_ann",1.62,FALSE,""
"2011-2015","SPX options",3,3,"mean_ann",16.61,FALSE,""
"2011-2015","SPX options",3,3,"sd_ann",8.21,FALSE,""
"2011-2015","SPX options",3,3,"sharpe_ann",2.02,FALSE,""
"2011-2015","SPX options",3,3,"alpha_ann",13.86,FALSE,""
"2011-2015","SPX options",3,3,"beta",0.3,FALSE,""
"2011-2015","SPX options",3,3,"hsd_ann",6.98,FALSE,""
"2011-2015","SPX options",3,3,"appraisal_ann",1.99,FALSE,""
"2011-2015","SPX options",3,5,"mean_ann",14.8,FALSE,""
"2011-2015","SPX options",3,5,"sd_ann",6.6,FALSE,""
"2011-2015","SPX options",3,5,"sharpe_ann",2.24,FALSE,""
"2011-2015","SPX options",3,5,"alpha_ann",12.52,FALSE,""
"2011-2015","SPX options",3,5,"beta",0.25,FALSE,""
"2011-2015","SPX options",3,5,"hsd_ann",5.53,FALSE,""
"2011-2015","SPX options",3,5,"appraisal_ann",2.26,FALSE,""
"2011-2015","SPX options",5,1,"mean_ann",29.44,TRUE,"The diagnosed 23 July 2012 bisection branch moves the generated subperiod mean from the archived 29.438538 to 29.447331 percent."
"2011-2015","SPX options",5,1,"sd_ann",18.33,FALSE,""
"2011-2015","SPX options",5,1,"sharpe_ann",1.61,FALSE,""
"2011-2015","SPX options",5,1,"alpha_ann",23.65,TRUE,"The diagnosed 23 July 2012 bisection branch moves the generated subperiod alpha from the archived 23.649913 to 23.657048 percent."
"2011-2015","SPX options",5,1,"beta",0.64,FALSE,""
"2011-2015","SPX options",5,1,"hsd_ann",15.88,FALSE,""
"2011-2015","SPX options",5,1,"appraisal_ann",1.49,FALSE,""
"2011-2015","SPX options",5,3,"mean_ann",24.3,FALSE,""
"2011-2015","SPX options",5,3,"sd_ann",11.17,FALSE,""
"2011-2015","SPX options",5,3,"sharpe_ann",2.18,FALSE,""
"2011-2015","SPX options",5,3,"alpha_ann",20.42,FALSE,""
"2011-2015","SPX options",5,3,"beta",0.43,FALSE,""
"2011-2015","SPX options",5,3,"hsd_ann",9.33,FALSE,""
"2011-2015","SPX options",5,3,"appraisal_ann",2.19,FALSE,""
"2011-2015","SPX options",5,5,"mean_ann",21.63,FALSE,""
"2011-2015","SPX options",5,5,"sd_ann",8.55,FALSE,""
"2011-2015","SPX options",5,5,"sharpe_ann",2.53,FALSE,""
"2011-2015","SPX options",5,5,"alpha_ann",18.74,FALSE,""
